,TP_ESCOLA,TP_PRESENCA_CH,TP_PRESENCA_CN,TP_PRESENCA_LC,NU_IDADE,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ENSINO,IN_TREINEIRO,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TP_STATUS_REDACAO,NU_NOTA_REDACAO
40,1,1,1,1,24,1,8,,0,401.4,506.9,518.0,373.9,1.0,600.0
41,1,1,1,1,17,1,1,,0,448.9,639.2,604.4,542.4,1.0,720.0
42,2,1,1,1,18,2,0,1.0,0,373.4,518.4,521.8,405.7,1.0,480.0
43,2,1,1,1,18,2,0,1.0,0,560.8,586.9,623.0,555.6,1.0,620.0
44,1,1,1,1,16,3,0,,1,593.9,549.4,603.1,539.7,1.0,480.0
45,1,1,1,1,16,3,0,,1,498.2,619.9,515.7,390.3,1.0,620.0
46,2,1,1,1,18,2,0,1.0,0,461.4,587.4,578.4,423.5,1.0,620.0
47,1,1,1,1,19,1,1,,0,524.5,581.0,586.5,471.1,1.0,600.0
48,1,1,1,1,21,1,3,,0,412.6,396.3,443.2,354.6,1.0,320.0
49,2,1,1,1,19,2,0,1.0,0,366.7,424.2,450.4,345.7,1.0,380.0
50,1,1,1,1,18,3,0,,0,440.3,493.9,536.4,443.8,1.0,420.0
51,1,0,0,0,18,1,1,,0,,,,,,
52,1,1,1,1,18,1,1,,0,377.9,527.3,493.6,629.3,1.0,460.0
53,1,1,1,1,21,1,2,,0,595.1,565.7,577.4,393.6,1.0,560.0
54,2,1,1,1,18,2,0,1.0,0,561.1,610.8,607.5,708.5,1.0,520.0
55,1,0,0,0,40,1,10,,0,,,,,,
56,1,1,1,1,20,1,1,,0,384.5,512.4,527.4,371.8,1.0,560.0
57,1,1,1,1,19,3,0,,0,419.9,467.9,387.4,378.7,1.0,600.0
58,1,1,1,1,18,1,1,,0,460.9,468.0,516.4,468.5,1.0,640.0
59,1,0,0,0,25,1,3,,0,,,,,,
60,1,1,1,1,19,1,1,,0,596.2,610.4,562.7,728.3,1.0,780.0
61,2,1,1,1,17,2,0,1.0,0,443.8,470.9,503.5,434.2,1.0,360.0
62,1,1,1,1,16,3,0,,1,493.5,504.1,431.9,414.1,1.0,500.0
63,1,1,1,1,18,3,0,,0,482.2,590.8,604.4,457.8,1.0,360.0
64,1,0,0,0,27,3,0,,0,,,,,,
65,3,1,1,1,16,2,0,1.0,0,446.0,518.9,530.2,370.8,1.0,640.0
66,1,1,1,1,16,3,0,,1,437.3,449.1,521.7,412.4,1.0,500.0
67,1,0,0,0,20,3,0,,0,,,,,,
68,2,1,1,1,17,2,0,1.0,0,434.9,475.2,546.8,355.6,1.0,580.0
69,1,1,1,1,23,1,5,,0,438.4,441.4,507.0,401.6,1.0,440.0
70,1,1,1,1,18,1,1,,0,367.1,526.4,532.0,492.8,1.0,600.0
71,1,1,1,1,22,1,3,,0,393.9,492.3,517.3,407.6,1.0,420.0
72,1,1,1,1,16,3,0,,1,414.3,534.0,524.5,513.0,1.0,600.0
73,1,1,1,1,27,1,9,,0,477.9,484.2,489.7,604.9,1.0,500.0
74,1,1,1,1,37,1,10,,0,494.1,587.5,546.6,495.3,1.0,540.0
75,2,1,1,1,17,2,0,1.0,0,391.1,570.4,511.2,397.3,1.0,360.0
76,2,1,1,1,18,2,0,1.0,0,405.7,476.4,464.7,344.1,1.0,400.0
77,2,1,1,1,17,2,0,1.0,0,443.0,521.8,526.0,397.0,1.0,540.0
78,1,0,0,0,28,1,10,,0,,,,,,
79,1,0,0,0,23,1,5,,0,,,,,,
80,1,1,1,1,18,1,1,,0,444.3,509.1,530.1,488.3,1.0,540.0
81,1,0,0,0,22,4,0,,0,,,,,,
82,1,1,1,1,37,1,1,,0,401.8,487.6,444.6,363.1,1.0,560.0
83,2,0,0,0,17,2,0,1.0,0,,,,,,
84,1,1,1,1,21,1,3,,0,457.0,538.6,555.2,418.0,1.0,660.0
85,1,1,1,1,32,1,9,,0,475.7,547.4,483.5,503.0,1.0,520.0
86,2,1,1,1,17,2,0,1.0,0,459.2,505.6,456.0,507.8,1.0,320.0
87,1,0,0,0,38,1,10,,0,,,,,,
88,2,1,1,1,18,2,0,1.0,0,382.4,368.3,482.0,392.4,1.0,520.0
89,1,0,0,0,25,1,5,,0,,,,,,
90,1,1,1,1,30,1,10,,0,460.7,505.8,448.2,351.3,6.0,0.0
91,1,1,1,1,18,3,0,,0,462.8,524.6,498.6,418.9,1.0,520.0
92,2,1,1,1,18,2,0,1.0,0,431.1,431.7,467.8,413.0,9.0,0.0
93,1,1,1,1,20,1,2,,0,413.1,541.7,564.2,421.0,1.0,440.0
94,1,1,1,1,26,1,6,,0,444.7,412.6,382.5,433.8,1.0,260.0
95,2,1,1,1,17,2,0,1.0,0,456.7,528.5,456.5,429.0,1.0,580.0
96,1,1,1,1,18,1,1,,0,591.8,625.3,591.7,650.0,1.0,760.0
97,1,1,1,1,42,1,10,,0,510.0,543.2,575.7,496.7,1.0,560.0
98,1,1,1,1,20,4,0,,0,435.5,557.9,530.3,487.8,1.0,380.0
99,2,0,0,0,21,2,0,3.0,0,,,,,,
100,1,1,1,1,19,1,3,,0,432.7,578.4,546.8,408.4,1.0,540.0
101,2,0,0,0,17,2,0,1.0,0,,,,,,
102,1,1,1,1,20,3,0,,0,383.1,566.5,404.0,380.7,1.0,620.0
103,1,1,1,1,19,1,2,,0,452.7,620.1,617.7,400.0,1.0,640.0
104,1,0,0,0,19,1,1,,0,,,,,,
105,1,1,1,1,22,1,5,,0,383.2,495.6,492.3,371.1,1.0,520.0
106,2,1,1,1,17,2,0,1.0,0,442.5,555.5,486.0,411.8,1.0,680.0
107,2,1,1,1,17,2,0,1.0,0,390.1,577.9,455.0,575.0,1.0,600.0
108,2,1,1,1,17,2,0,1.0,0,471.8,535.9,555.5,408.6,1.0,680.0
109,2,1,1,1,17,2,0,1.0,0,383.7,520.6,544.7,378.4,1.0,360.0
110,2,1,1,1,19,2,0,1.0,0,541.1,557.9,576.9,457.4,1.0,580.0
111,1,1,1,1,44,4,0,,0,0.0,0.0,0.0,0.0,6.0,0.0
112,1,1,1,0,38,1,10,,0,519.3,564.3,,,,
113,2,0,0,0,27,2,0,3.0,0,,,,,,
114,1,1,1,1,17,3,0,,1,575.5,605.2,606.9,708.2,1.0,560.0
115,2,1,1,1,18,2,0,1.0,0,454.2,433.0,485.2,445.3,1.0,520.0
116,2,1,1,1,17,2,0,1.0,0,582.2,602.8,599.4,496.1,1.0,840.0
117,1,1,1,1,19,1,1,,0,542.1,610.3,583.3,499.7,1.0,940.0
118,1,1,1,1,17,3,0,,1,438.7,446.1,470.1,345.8,1.0,340.0
119,1,0,0,0,21,1,3,,0,,,,,,
120,1,0,0,0,21,4,0,,0,,,,,,
121,1,1,1,1,26,1,9,,0,373.7,594.7,543.0,540.2,1.0,640.0
122,1,0,0,0,34,1,10,,0,,,,,,
123,2,1,1,1,16,2,0,1.0,0,509.2,575.1,548.5,540.5,1.0,560.0
124,2,1,1,1,19,2,0,1.0,0,477.9,569.7,529.6,408.3,1.0,540.0
125,1,1,1,1,27,1,9,,0,490.8,543.4,562.6,399.3,1.0,560.0
126,1,0,0,0,48,1,10,,0,,,,,,
127,1,0,0,0,23,1,6,,0,,,,,,
128,1,1,1,1,16,3,0,,1,516.2,507.6,444.3,363.4,1.0,560.0
129,2,1,1,1,17,2,0,1.0,0,455.6,587.1,574.1,538.3,1.0,680.0
130,1,0,0,0,24,1,7,,0,,,,,,
131,1,1,1,1,20,1,3,,0,515.6,547.1,475.5,403.9,1.0,520.0
132,1,1,1,1,34,1,10,,0,485.2,558.7,552.6,438.6,1.0,580.0
133,1,1,1,1,20,1,2,,0,469.5,479.9,455.6,437.1,1.0,520.0
134,1,1,1,1,24,1,4,,0,483.0,514.2,424.5,443.3,1.0,500.0
135,3,1,1,1,17,2,0,1.0,0,635.8,649.6,636.7,724.1,1.0,780.0
136,1,0,0,0,15,3,0,,1,,,,,,
137,1,0,0,0,31,1,10,,0,,,,,,
138,1,1,1,1,19,1,1,,0,387.0,459.9,455.1,501.7,1.0,580.0
139,2,1,1,1,20,2,0,1.0,0,429.8,568.9,570.6,626.0,1.0,400.0
140,2,1,1,1,17,2,0,1.0,0,435.7,533.5,544.2,405.1,1.0,520.0
141,1,1,1,1,52,1,10,,0,416.3,665.6,568.5,351.5,1.0,720.0
142,1,1,1,1,24,1,6,,0,398.6,479.7,495.8,433.2,1.0,520.0
143,1,1,1,1,15,3,0,,1,557.8,603.3,574.6,590.1,1.0,600.0
144,2,1,1,1,18,2,0,1.0,0,414.4,450.5,379.6,443.7,1.0,440.0
145,1,0,0,0,21,1,4,,0,,,,,,
146,2,0,0,0,18,2,0,3.0,0,,,,,,
147,1,1,1,1,21,1,2,,0,431.9,591.1,493.4,372.2,1.0,540.0
148,1,1,1,0,16,3,0,,1,404.8,346.2,,,,
149,1,1,1,1,19,1,2,,0,653.2,703.6,623.8,664.6,1.0,740.0
150,1,0,0,0,23,1,4,,0,,,,,,
151,1,1,1,1,22,1,2,,0,468.5,351.0,373.0,490.2,1.0,440.0
152,1,1,1,1,21,1,4,,0,436.6,511.9,569.0,420.6,1.0,460.0
153,1,0,0,0,28,1,10,,0,,,,,,
154,1,1,1,1,21,1,4,,0,512.3,486.9,516.5,416.8,1.0,560.0
155,2,1,1,1,16,2,0,1.0,0,512.0,635.0,578.5,501.0,1.0,520.0
156,1,0,0,0,38,1,10,,0,,,,,,
157,3,1,1,1,17,2,0,1.0,0,565.2,583.5,570.7,676.0,1.0,500.0
158,1,1,1,1,22,1,1,,0,416.8,550.0,488.8,456.8,1.0,560.0
159,1,1,1,1,19,3,0,,0,438.1,425.9,505.5,423.9,1.0,260.0
160,2,1,1,1,17,2,0,1.0,0,401.8,486.3,520.1,333.8,1.0,560.0
161,1,0,0,0,24,1,7,,0,,,,,,
162,3,1,1,1,18,2,0,1.0,0,411.0,517.4,516.2,451.2,1.0,520.0
163,2,1,1,1,19,2,0,1.0,0,445.7,410.3,372.0,446.1,1.0,500.0
164,2,1,1,1,16,2,0,1.0,0,535.4,588.2,575.1,366.9,1.0,480.0
165,1,1,1,1,18,1,1,,0,440.8,520.9,414.6,502.8,1.0,680.0
166,2,1,1,1,18,2,0,1.0,0,385.1,464.8,450.3,488.5,1.0,460.0
167,2,1,1,1,16,2,0,1.0,0,394.0,481.4,490.2,556.7,1.0,480.0
168,1,0,0,0,18,1,1,,0,,,,,,
169,1,1,1,1,18,3,0,,0,463.9,531.2,423.4,494.4,1.0,400.0
170,1,1,1,1,30,1,1,,0,451.5,478.7,527.2,454.3,1.0,420.0
171,1,1,1,1,37,1,10,,0,470.4,478.9,539.3,394.2,1.0,700.0
172,2,1,1,1,17,2,0,1.0,0,428.6,622.1,495.4,509.6,1.0,580.0
173,2,0,0,0,43,2,0,3.0,0,,,,,,
174,2,1,1,1,17,2,0,1.0,0,546.1,585.4,575.4,568.2,1.0,720.0
175,1,1,1,1,17,3,0,,1,532.4,532.3,497.4,415.2,1.0,620.0
176,1,0,0,0,19,1,2,,0,,,,,,
177,2,1,1,1,17,2,0,1.0,0,535.6,507.7,495.9,445.3,1.0,540.0
178,1,1,1,1,16,3,0,,1,453.9,437.0,387.0,441.9,1.0,280.0
179,2,1,1,1,18,2,0,1.0,0,466.0,552.1,544.3,538.3,1.0,480.0
180,1,0,0,0,18,1,1,,0,,,,,,
181,1,0,0,0,29,1,10,,0,,,,,,
182,1,1,1,1,22,4,0,,0,553.4,553.2,542.7,548.8,1.0,440.0
183,2,1,1,1,18,2,0,1.0,0,425.4,486.6,522.9,465.3,1.0,520.0
184,1,1,1,1,16,3,0,,1,412.7,492.6,454.8,367.1,1.0,480.0
185,1,1,1,1,36,1,10,,0,448.1,521.1,515.4,383.8,1.0,500.0
186,1,1,1,1,22,1,5,,0,541.9,626.0,620.7,571.8,1.0,620.0
187,1,1,1,1,19,1,2,,0,478.1,573.2,553.8,463.1,1.0,640.0
188,2,1,1,1,23,2,0,3.0,0,491.6,433.4,444.8,393.8,1.0,560.0
189,1,1,1,1,18,3,0,,1,462.8,531.5,350.6,487.4,1.0,500.0
190,2,1,1,1,17,2,0,1.0,0,557.6,608.8,603.2,602.4,1.0,760.0
191,1,1,1,1,22,1,3,,0,426.3,487.0,394.2,351.0,4.0,0.0
192,2,1,1,1,18,2,0,1.0,0,394.3,445.2,395.5,391.2,1.0,500.0
193,2,1,1,1,17,2,0,1.0,0,479.2,592.0,623.8,443.8,1.0,520.0
194,1,0,0,0,24,1,7,,0,,,,,,
195,1,1,1,1,22,1,4,,0,419.1,476.0,415.2,374.8,1.0,400.0
196,1,0,0,0,19,1,2,,0,,,,,,
197,1,1,1,1,19,1,2,,0,619.3,637.4,571.5,700.9,1.0,840.0
198,2,1,1,1,21,2,0,1.0,0,405.7,550.7,540.2,500.7,1.0,380.0
199,2,1,1,1,17,2,0,1.0,0,456.6,502.4,553.1,375.6,1.0,560.0
200,3,1,1,1,17,2,0,1.0,0,613.1,682.0,614.2,769.8,1.0,780.0
201,2,1,1,1,19,2,0,3.0,0,491.4,381.4,430.0,420.8,1.0,460.0
202,1,1,1,1,25,1,8,,0,407.8,511.3,502.9,517.3,1.0,560.0
203,1,0,0,0,20,1,3,,0,,,,,,
204,2,1,1,1,19,2,0,3.0,0,396.8,512.3,540.0,400.0,1.0,360.0
205,1,1,1,1,42,1,10,,0,401.3,503.2,563.1,341.0,1.0,560.0
206,2,1,1,1,17,2,0,1.0,0,573.8,613.7,607.2,631.1,1.0,800.0
207,1,0,0,0,22,1,5,,0,,,,,,
208,1,1,1,1,28,1,10,,0,571.2,593.9,558.4,601.5,1.0,580.0
209,1,1,1,1,20,1,3,,0,446.2,497.6,420.3,545.5,1.0,720.0
210,3,1,1,1,17,2,0,1.0,0,519.8,566.3,445.7,539.7,1.0,640.0
211,2,1,1,1,18,2,0,1.0,0,539.1,530.1,550.5,485.2,1.0,500.0
212,2,0,0,0,17,2,0,1.0,0,,,,,,
213,1,1,1,1,20,1,3,,0,543.2,657.4,640.1,570.8,1.0,740.0
214,1,0,0,0,45,1,10,,0,,,,,,
215,1,1,1,1,28,1,10,,0,525.0,437.6,505.1,400.1,1.0,400.0
216,2,1,1,1,17,2,0,1.0,0,516.2,587.4,518.3,381.3,1.0,560.0
217,1,0,0,0,22,1,4,,0,,,,,,
218,1,1,1,1,19,3,0,,0,494.7,408.7,533.9,348.1,1.0,520.0
219,2,1,1,1,18,2,0,1.0,0,670.6,614.3,674.9,793.0,1.0,800.0
220,1,0,0,0,45,1,10,,0,,,,,,
221,1,0,0,0,31,1,10,,0,,,,,,
222,3,1,1,1,17,2,0,1.0,0,542.3,573.6,572.7,509.3,1.0,680.0
223,1,1,1,1,15,3,0,,1,387.0,492.4,570.4,547.7,1.0,560.0
224,1,0,0,0,23,1,6,,0,,,,,,
225,1,1,1,1,17,3,0,,1,439.5,475.0,502.9,533.5,1.0,560.0
226,1,0,0,0,19,1,1,,0,,,,,,
227,1,1,1,1,18,1,1,,0,374.1,395.5,450.0,409.6,1.0,360.0
228,2,1,1,1,17,2,0,1.0,0,417.7,529.7,496.0,421.9,1.0,520.0
229,1,1,1,1,16,3,0,,1,460.3,500.5,480.9,412.7,1.0,560.0
230,2,0,0,0,26,2,0,1.0,0,,,,,,
231,1,0,0,0,23,1,4,,0,,,,,,
232,1,1,1,1,17,3,0,,1,476.1,357.4,425.6,455.4,1.0,420.0
233,3,1,1,1,17,2,0,1.0,0,384.8,498.8,568.9,429.1,1.0,640.0
234,1,1,1,1,21,1,3,,0,549.0,642.2,580.0,666.9,1.0,940.0
235,2,0,0,0,18,2,0,1.0,0,,,,,,
236,2,1,1,1,20,2,0,1.0,0,473.8,478.7,479.5,504.4,1.0,520.0
237,2,1,1,1,18,2,0,1.0,0,445.0,475.6,506.6,379.5,1.0,480.0
238,1,0,0,0,19,1,2,,0,,,,,,
239,1,1,1,1,22,1,4,,0,515.8,595.9,549.9,563.3,1.0,540.0
240,1,1,1,1,22,1,5,,0,390.6,592.3,616.1,448.6,1.0,520.0
241,2,1,1,1,17,2,0,1.0,0,446.0,406.2,515.0,422.5,1.0,560.0
242,1,1,1,1,17,3,0,,1,456.1,493.1,505.8,355.0,1.0,500.0
243,3,1,1,0,20,2,0,3.0,0,452.6,511.8,,,,
244,1,0,0,0,21,1,3,,0,,,,,,
245,1,1,1,1,20,1,1,,0,482.1,501.8,390.5,621.6,1.0,460.0
246,2,1,1,1,17,2,0,1.0,0,369.3,466.2,396.7,364.8,1.0,460.0
247,1,1,1,1,15,3,0,,1,398.1,513.8,545.0,450.9,1.0,480.0
248,1,1,1,1,18,1,1,,0,558.5,593.5,618.9,422.7,1.0,800.0
249,1,1,1,1,32,1,10,,0,437.0,454.1,478.1,372.1,1.0,440.0
250,2,1,1,1,18,2,0,1.0,0,444.6,501.3,484.5,434.3,1.0,520.0
251,1,1,1,1,19,1,2,,0,408.0,492.9,456.6,514.3,1.0,460.0
252,2,1,1,1,22,2,0,1.0,0,397.1,525.5,527.4,471.6,1.0,300.0
253,2,1,1,1,17,2,0,1.0,0,505.2,527.0,485.4,444.6,1.0,680.0
254,1,1,1,1,21,1,1,,0,439.7,509.7,485.4,362.1,1.0,320.0
255,2,1,1,1,17,2,0,1.0,0,444.2,530.7,522.6,396.7,1.0,580.0
256,1,1,1,1,17,3,0,,1,436.1,560.4,358.4,529.5,1.0,180.0
257,2,1,1,1,18,2,0,2.0,0,476.8,430.8,506.7,388.0,1.0,520.0
258,2,1,1,1,18,2,0,1.0,0,546.9,561.8,559.9,484.4,1.0,520.0
259,2,1,1,1,21,2,0,1.0,0,377.7,502.1,466.8,362.8,1.0,480.0
260,1,1,1,1,18,1,1,,0,462.4,629.8,600.1,574.3,1.0,620.0
261,1,0,0,0,22,1,4,,0,,,,,,
262,1,1,1,1,19,1,1,,0,446.2,462.1,410.2,487.9,1.0,420.0
263,1,1,1,1,39,1,10,,0,511.0,622.1,559.8,550.0,1.0,640.0
264,2,1,1,1,17,2,0,1.0,0,541.2,600.2,606.9,570.2,1.0,640.0
265,1,1,1,1,19,1,2,,0,438.9,575.6,474.0,427.6,1.0,580.0
266,1,0,0,0,29,1,10,,0,,,,,,
267,1,1,1,1,20,1,2,,0,515.9,555.0,540.5,524.1,1.0,480.0
268,2,1,1,1,18,2,0,1.0,0,419.6,494.4,462.4,419.1,1.0,560.0
269,1,0,0,0,40,1,10,,0,,,,,,
270,1,1,1,1,18,1,1,,0,446.2,498.6,425.1,407.7,1.0,520.0
271,1,1,1,1,19,1,2,,0,519.8,545.6,519.7,488.5,1.0,600.0
272,1,1,1,1,23,1,3,,0,447.3,474.8,396.7,445.3,1.0,300.0
273,1,1,1,1,28,1,10,,0,380.8,585.3,487.0,593.4,1.0,460.0
274,2,1,1,1,18,2,0,1.0,0,419.7,575.1,582.3,455.7,1.0,540.0
275,1,1,1,1,18,1,1,,0,467.9,595.2,540.2,367.9,1.0,560.0
276,2,1,1,1,17,2,0,1.0,0,413.0,486.9,522.9,519.8,1.0,520.0
277,1,1,1,1,22,1,2,,0,617.8,701.1,630.8,688.9,1.0,700.0
278,1,1,1,1,20,1,1,,0,401.2,660.7,588.1,623.1,1.0,640.0
279,1,0,0,0,22,3,0,,0,,,,,,
280,1,1,1,1,25,1,7,,0,453.9,560.6,523.1,374.4,1.0,540.0
281,1,1,1,1,21,1,3,,0,452.5,551.5,534.5,403.4,1.0,520.0
282,1,1,1,1,20,1,2,,0,470.2,547.0,564.2,553.8,1.0,460.0
283,2,1,1,1,17,2,0,1.0,0,415.6,484.0,503.5,491.1,1.0,420.0
284,1,1,1,1,57,1,10,,0,400.0,680.7,595.4,580.7,1.0,480.0
285,1,1,1,1,27,1,6,,0,475.5,552.5,522.9,342.5,1.0,500.0
286,2,1,1,1,17,2,0,1.0,0,422.3,542.3,571.1,547.0,1.0,580.0
287,1,0,0,0,16,3,0,,1,,,,,,
288,2,1,1,1,17,2,0,1.0,0,467.2,536.1,514.5,425.7,4.0,0.0
289,1,1,1,1,19,3,0,,0,472.2,442.1,437.2,408.3,1.0,380.0
290,1,0,0,0,27,1,9,,0,,,,,,
291,1,1,1,1,28,1,6,,0,412.1,475.7,475.7,499.6,1.0,520.0
292,1,0,0,0,22,1,5,,0,,,,,,
293,2,1,1,1,17,2,0,1.0,0,462.4,595.8,545.7,476.6,1.0,560.0
294,1,0,0,0,25,1,4,,0,,,,,,
295,2,0,0,0,18,2,0,1.0,0,,,,,,
296,1,1,1,0,22,1,4,,0,609.8,596.2,,,,
297,1,1,1,1,18,1,1,,0,714.6,695.1,665.8,808.0,1.0,860.0
298,1,1,1,1,20,1,3,,0,475.9,574.7,502.6,541.3,1.0,640.0
299,1,1,1,1,33,1,10,,0,538.9,696.2,664.3,513.8,1.0,780.0
300,1,1,1,1,18,1,1,,0,538.5,521.6,528.4,466.2,1.0,560.0
301,1,1,1,1,40,1,10,,0,458.2,606.9,595.9,501.9,1.0,560.0
302,1,1,1,1,16,3,0,,1,385.4,585.4,476.5,510.3,1.0,540.0
303,2,1,1,1,17,2,0,1.0,0,404.2,481.8,449.3,469.3,1.0,360.0
304,1,1,1,1,23,1,4,,0,438.8,528.8,512.4,451.6,1.0,560.0
305,1,1,1,1,21,1,2,,0,406.5,377.4,438.8,400.2,1.0,440.0
306,1,1,1,1,18,1,1,,0,456.0,588.4,499.0,347.8,1.0,900.0
307,2,1,1,1,18,2,0,1.0,0,555.1,584.5,575.8,568.3,1.0,600.0
308,1,1,1,1,49,1,10,,0,467.2,507.8,558.5,393.6,1.0,420.0
309,1,1,1,1,16,3,0,,1,425.0,614.1,593.0,580.2,1.0,600.0
310,2,1,1,1,17,2,0,1.0,0,503.1,447.0,429.6,499.5,1.0,120.0
311,1,1,1,1,17,3,0,,1,382.3,501.3,437.9,364.3,1.0,560.0
312,1,1,1,1,48,4,0,,0,426.6,496.6,507.8,388.7,1.0,200.0
313,2,0,0,0,17,2,0,1.0,0,,,,,,
314,1,1,1,1,16,3,0,,1,557.8,560.9,596.9,515.5,1.0,500.0
315,1,0,0,0,35,1,2,,0,,,,,,
316,2,1,1,1,17,2,0,1.0,0,579.7,502.4,556.7,488.8,1.0,560.0
317,1,1,1,1,27,1,6,,0,421.9,545.8,559.7,496.4,1.0,640.0
318,1,0,0,0,28,1,1,,0,,,,,,
319,2,1,1,1,18,2,0,1.0,0,382.7,528.7,526.6,471.3,1.0,560.0
320,1,1,1,1,19,1,2,,0,482.1,508.7,504.6,338.8,1.0,520.0
321,1,0,0,0,16,3,0,,1,,,,,,
322,1,1,1,1,20,1,3,,0,527.8,579.8,522.5,571.9,1.0,640.0
323,2,0,0,0,20,2,0,3.0,0,,,,,,
324,1,1,1,1,27,1,5,,0,418.2,419.4,545.9,430.5,1.0,360.0
325,1,1,1,1,15,3,0,,1,381.8,535.3,450.9,461.2,1.0,440.0
326,2,1,1,1,17,2,0,1.0,0,506.2,507.7,502.9,459.0,1.0,560.0
327,1,1,1,1,24,3,0,,0,411.1,484.8,447.3,477.6,1.0,360.0
328,1,0,0,0,18,1,1,,0,,,,,,
329,1,1,1,1,15,3,0,,1,445.8,417.6,489.1,493.1,1.0,420.0
330,2,1,1,1,21,2,0,3.0,0,450.3,572.1,568.2,444.3,1.0,640.0
331,1,1,1,1,32,1,7,,0,411.7,357.2,437.7,347.2,1.0,320.0
332,2,1,1,1,17,2,0,1.0,0,455.8,587.9,602.7,417.8,1.0,640.0
333,1,0,0,0,30,1,5,,0,,,,,,
334,1,0,0,0,47,1,10,,0,,,,,,
335,1,1,1,1,16,3,0,,1,429.8,495.7,539.2,563.7,1.0,520.0
336,2,1,1,1,17,2,0,1.0,0,556.2,635.7,554.7,700.5,1.0,720.0
337,1,1,1,1,29,1,9,,0,427.9,610.4,573.1,456.1,1.0,580.0
338,2,1,1,1,18,2,0,1.0,0,537.2,476.8,474.8,378.4,1.0,440.0
339,1,1,1,1,18,3,0,,0,431.2,607.0,484.7,571.7,1.0,620.0
340,1,0,0,0,24,1,7,,0,,,,,,
341,1,0,0,0,18,3,0,,1,,,,,,
342,1,0,0,0,46,1,10,,0,,,,,,
343,1,1,1,1,14,3,0,,1,481.7,589.7,562.0,615.3,1.0,520.0
